TargetID	MF1.AVG_Signal	MF1-2.AVG_Signal	MF3.AVG_Signal	MF3-2.AVG_Signal	MF6.AVG_Signal	MF6-2.AVG_Signal	A1.AVG_Signal	B1.AVG_Signal	C1.AVG_Signal	D1.AVG_Signal	E1.AVG_Signal
7A5	1.8	0.0	2.3	0.0	2.0	3.9	0.0	0.0	0.0	0.0	5.0
A1BG	3.7	0.4	5.4	9.2	2.5	1.8	0.3	2.0	0.0	0.0	3.6
A1CF	4.6	0.0	0.8	0.1	0.0	0.0	0.0	1.7	0.0	1.7	0.0
A26C3	0.0	0.0	0.0	0.0	0.0	0.8	0.0	1.3	0.4	0.0	0.0
A2BP1	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0
A2LD1	3.1	6.1	8.6	10.3	15.3	13.2	18.3	14.2	8.5	8.3	4.1
A2M	0.0	0.0	0.0	0.0	32.4	18.8	0.4	1.6	0.0	0.0	0.0
A2ML1	0.2	5.0	0.0	3.8	0.0	1.3	1.9	0.0	4.5	0.0	0.0
A3GALT2	0.0	1.6	0.5	1.6	1.3	1.3	0.0	1.2	0.0	0.0	2.6
A4GALT	30.0	29.9	25.1	43.6	63.3	42.0	13.9	0.0	30.3	12.0	0.0
A4GNT	1.9	6.2	10.2	12.8	5.6	0.0	3.4	2.7	3.5	9.0	2.4
AAA1	1.1	0.0	0.8	0.0	0.4	0.0	1.1	0.0	1.5	0.0	1.2
AAAS	13.3	13.5	18.2	22.1	8.6	10.1	19.7	6.4	12.2	11.3	6.8
AACS	6.3	3.8	1.4	2.4	12.1	0.0	6.3	0.0	9.2	6.1	0.0
AACSL	11.5	5.2	10.1	8.0	0.8	6.7	4.3	1.3	7.5	5.9	7.5
AADAC	1.7	0.0	3.5	0.0	0.6	0.0	0.0	0.0	3.8	0.0	5.6
AADACL1	111.8	105.3	210.0	218.9	71.6	104.0	104.4	88.7	90.6	46.4	68.4
AADACL2	4.5	4.7	0.0	0.9	0.0	1.6	0.0	1.9	0.0	0.6	1.7
AADACL3	0.0	0.0	0.0	0.0	0.0	1.1	0.0	0.8	0.0	0.0	0.1
AADACL4	14.3	9.9	5.1	2.9	4.9	2.2	9.4	0.0	0.0	2.5	0.0
AADAT	0.0	0.0	0.1	0.0	0.0	0.1	0.0	2.2	0.0	0.0	0.9
AAGAB	74.4	58.0	101.5	104.3	72.7	59.3	87.4	49.2	57.9	54.7	75.7
AAK1	1.5	0.3	3.6	0.0	0.8	1.1	10.2	3.3	17.0	22.5	6.7
AAMP	73.7	60.1	67.6	60.9	96.0	71.6	51.2	108.9	60.4	52.2	110.4
AANAT	0.0	1.5	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.7	2.1
AARS	842.4	826.5	292.7	327.6	363.8	329.3	297.9	229.2	419.6	294.9	226.8
AARS2	19.9	27.2	29.9	26.8	25.4	15.4	50.9	36.7	56.5	42.7	44.9
AARSD1	89.1	92.7	89.5	64.7	129.9	73.8	46.1	75.5	65.0	80.2	84.2
AASDH	19.9	12.9	25.9	31.7	18.9	16.7	57.1	15.7	34.6	34.5	16.1
AASDHPPT	36.9	31.8	50.3	49.8	24.2	57.0	65.0	35.2	66.4	59.3	51.3
AASS	2.4	3.1	0.0	0.8	0.0	1.1	0.4	0.3	3.5	5.4	0.4
AATF	132.9	136.8	106.4	83.3	112.0	138.7	79.7	153.0	63.9	115.3	115.4
AATK	9.2	14.2	7.2	7.8	8.2	9.7	8.9	1.5	9.6	4.0	7.2
ABAT	0.2	0.0	0.0	1.8	3.5	5.6	5.0	2.6	0.0	4.9	1.3
ABCA1	128.3	116.8	43.2	45.9	117.3	89.9	78.9	26.4	76.1	21.3	27.3
ABCA10	1.0	0.6	0.5	3.5	1.0	0.3	5.8	0.0	1.5	0.0	4.9
ABCA11	0.0	1.0	0.0	3.7	0.0	2.8	3.1	0.0	2.9	6.2	3.4
ABCA12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0
ABCA13	1.5	1.4	7.3	1.5	4.5	9.1	14.2	31.1	0.0	23.2	0.0
ABCA2	8.2	11.9	7.7	3.9	7.6	6.2	3.0	10.8	8.2	4.0	3.9
ABCA3	5.5	11.4	0.0	0.9	2.3	4.2	0.0	0.0	2.7	3.0	6.2
ABCA4	0.0	0.1	1.5	0.0	1.9	1.9	0.0	0.0	0.0	0.0	1.8
ABCA5	0.0	0.0	0.0	1.2	0.0	1.0	1.7	0.9	3.0	1.9	0.2
ABCA6	3.8	0.3	3.3	8.2	1.5	0.0	4.9	1.9	0.0	0.0	2.5
ABCA7	76.8	97.5	63.1	44.0	33.5	24.9	7.1	54.7	13.9	25.3	31.5
ABCA8	0.5	0.3	0.0	0.0	3.3	2.8	0.0	4.7	0.0	0.0	0.0
ABCA9	0.8	0.2	0.0	6.5	4.3	1.7	0.0	3.8	0.0	2.5	0.0
ABCB1	11.2	20.9	21.2	23.8	14.5	15.7	17.0	16.9	16.8	21.9	13.5
ABCB10	369.4	367.1	678.4	751.8	395.1	393.9	828.5	377.9	584.2	182.2	216.8
